OSM Tags have to be in BRITISH English!  --> KANN DAS JEMAND BITTE KORRIGIEREN; ICH KENNE DIE FEINHEITEN NICHT,,,,,,,,,,,
,,mode_of_interaction:lending  ,yes,http://overpass-turbo.eu/?template=key&key=mode_of_interaction:lending,by way of lending ,verleihen ,Here you can borrow something. ,Hier kannst Du Dir etwas ausleihen.,,,
,,mode_of_interaction:renting  ,yes,http://overpass-turbo.eu/?template=key&key=mode_of_interaction:renting,by way of renting ,mieten ,Here you can rent something. ,Hier kannst Du etwas mieten.,,,
,,mode_of_interaction:gifting  ,yes,http://overpass-turbo.eu/?template=key&key=mode_of_interaction:gifting,by way of gifting ,verschenken ,Here you can give and receive. ,Hier wird ge- und verschenkt. ,,,
,,mode_of_interaction:rebuying_reselling  ,yes,http://overpass-turbo.eu/?template=key&key=mode_of_interaction:rebuying_reselling,rebuy & resell ,weiter(ver)kaufen ,Here you can get things you need and other people don't need anymore. Second-hand. ,"Hier kannst Du Dinge kaufen, die fair und nachhaltig und/oder gemeinschaftlich produziert sind und die Andere schonmal genutzt haben und nicht mehr brauchen. ",,,
,,mode_of_interaction:cousing_sharing,yes,http://overpass-turbo.eu/?template=key&key=mode_of_interaction:cousing_sharing,co-use & share ,teilen ,Here you can share and use things with others. ,Hier kannst Du etwas mit Anderen nutzen und teilen. ,,,
,,mode_of_interaction:dit_and_diy,yes,http://overpass-turbo.eu/?template=key&key=mode_of_production:dit_and_diy,diy & dit,Selbermachen ,"Here you can produce or repair, upcycle or downcycle something by yourself or together with others. ",,,,
,,mode_of_interaction:'buying_and_selling,yes,HIER FEHLT WAS,buy & sell ,kaufen und verkaufen,,,default on all shops + amenities!,,
,,WHY NOT  co-.producing?,,DISKUTIEREN,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,TransforTax - Primary Key,OSM-Key,OSM-Value,Overpass-Link,label:en ,label:de ,description:en ,description:de ,OSM: default on objects,,
,,mode_of_production:solidarity_cooperative_production,yes,http://overpass-turbo.eu/?template=key&key=mode_of_production:solidarity_cooperative_production,fair production ,faire Produktion ,"Projects, cooperatives and firms who cooperates with others to fullfill the needs of all people involved and to contribute to a locally embedded, sustainable and globally fair economy. ","Hier wird solidarische kooperiert: Ein Betrieb/ Projekt kooperiert intern und mit anderen Betrieben/ Projekten, um bestimmte Bedürfnisse der Beteiligten zu befriedigen und solidarisch zu einer möglichst lokal vernetzen, ökologischen und global gerechten Ökonomie beizutragen. ",,,
,,,,,,,,,,,
,TransforTax - Primary Key,OSM-Key,OSM-Value,Overpass-Link,label:en ,label:de ,description:en ,description:de ,OSM: default on objects,,
Group,,production_input,,http://overpass-turbo.eu/s/5dX,Knowledge and Resource Management,,Whatever you do or produce: you need natural resources and ideas & knowledge. The question is how you use and access them and how you make sure that your use of a resource and your knowledge management doesn't affect other people's rights. ,,,,
Items,,,,,,,,,,,
,,production_input:knowledge:public_domain,yes/no/only ,http://overpass-turbo.eu/?template=key&key=production_input:knowledge:public_domain,public domain ,gemeinfrei ,"Works or artifacts in the public domain are those where the idea of ""intellectual property rights"" does not apply. ","Entspricht etwa dem europäischen Konzept der Gemeinfreiheit. Ergo: Es gibt keine ""Geistigen Eigentumsrechte"" auf das Werk, insbesondere kein Urheberrecht ",,,
,,production_input:knowledge:free_licence   ,yes/no/only ,http://overpass-turbo.eu/?template=key&key=production_input:knowledge:free_licence,free licence ,Freie Lizenz ,"The use of this work or product is generally permitted, for free and invites to build upon. But the user has to put whatever he or she makes out of it under a free licences again. That's the condition. ","Die Nutzung eines Werks ist grundsätzlich erlaubt, kostenlos und zur Weiterverbreitung freigegeben. Allerdings muss alles, was daraus entsteht, auch wieder freigegeben werden. Das ist Bedingung. ",,,
,,production_input:knowledge:p2p_licence   ,yes/no/only ,http://overpass-turbo.eu/?template=key&key=production_input:knowledge:p2p_licence,P2P Licence ,P2P Lizenz ,"The use of this work or product is generally permitted, for free and invites to build upon. But the user has to put whatever he or she makes out of it under a free licences again. Moreover, those who use the work or product for commercial purposes need to pay for it.","Die Nutzung eines Werks ist grundsätzlich erlaubt und zur Weiterverbreitung freigegeben. Allerdings muss alles, was daraus entsteht, auch wieder freigegeben werden. Zudem müssen diejenigen zahlen, die das Werk kommerziell nutzen.",,,
,,production_input:knowledge:others   ,free text,http://overpass-turbo.eu/?template=key&key=production_input:knowledge:others,,,Please specify the licence or norm you use. ,"Bitte kurz erläutern, welche Lizenz und Nutzungsnorm angewendet wird. ",,,
,,,,,,,,,,,
,,production_input:natural_resources:sustainable   ,yes/no/partially ,http://overpass-turbo.eu/?template=key&key=production_input:natural_resources:sustainable,sustainable ,nachhaltig ,"Use of natural resources. which are renewable or of metals and rare earths which can be extracted and recycled in an energy efficient, and socially compatible way. ","Es werden natürliche Ressourcen genutzt, die erneuerbar sind, z.B. nachwachsende Rohstoffe oder Metalle und Erden, die energieeffizient, natur- und sozialverträglich gewonnen und recycelt werden. ",,,
,,production_input:natural_recources:democratic   ,yes/no/partially ,http://overpass-turbo.eu/?template=key&key=production_input:natural_resources:democratic,democratic,demokratisch ,Natural resources are used in cooperation with all stakeholders. No grabbing excluding users and habitants and no corruption. ,"Natürliche Ressourcen werden unter Beteiligung der Betroffenen genutzt. Kein ""grabbing"" vorbei an Bewohner*innen und Nutzer*innen, keine Bestechung von Entscheidungsträger*innen. ",,,
,,production_input:natural_recources:fair   ,yes/no/partially ,http://overpass-turbo.eu/?template=key&key=production_input:natural_resources:fair,fair ,fair ,"A respectivly fair price, above the market price, is being paid within a longterm and fair contractual relationship. Additionally, social-ecological standards are aimed at or developed ","Es werden Mindestpreise bzw. faire Preise über den Marktpreisen gezahlt und längerfristige, partnerschaftliche Kooperationen vereinbart. Zusätzlich werden sozial-ökologische Standards angestrebt oder entwickelt. ",,,
,,production_input:natural_recources:regional   ,yes/no/partially ,http://overpass-turbo.eu/?template=key&key=production_input:natural_resources:regional,regional ,regional ,Resources are extracted as locally as possible. ,Ressourcen werden so regional wie möglich gewonnen. ,,,
,,,,,,,,,,,
,,production_input:supply_chain:fair   ,yes/no/partially ,http://overpass-turbo.eu/?template=key&key=production_input:supply_chain:fair,fair supply chain,faire Zulieferungskette ,All criteria mentionned above apply to the whole supply chain (s.above) ,Innerhalb der gesamten Herstellungskette werden die genannten Kriterien respektiert. ,,,
,,,Where does the money come from? ,,Geldquelle ,,Wo kommt das für die Produktion nötige Geld her? ,Source of money ,,,
,,production_input:money:ethical_banking   ,yes/no/partially ,http://overpass-turbo.eu/?template=key&key=production_input:money:ethical_banking,ethical banking ,Ethische Banken ,"Your choice is a transparent financial institution with clear criteria for excluding for instance arm-production, nuclear power, fracking, GMO technology, food speculations etc or with a list of positive criteria, democratically controled and supporting the local economy. ","Bei Bedarf wird mit ethischen Banken kooperiert, die transparent sind und mindestens klare Ausschluskriterien haben (etwa für Rüstung; Atomkraft; Fracking; Gentechnik; Nahrungsmittelspekulation) oder sie haben Positivkriterien und sind zudem möglichst demokratisch kontrolliert und lokal ausgerichtet. s. http://www.bankwechsel-jetzt.de/wohin-wechseln/welche-bank/ ",,,
,,production_input:money:crowdfunding   ,yes/no/partially ,http://overpass-turbo.eu/?template=key&key=production_input:money:crowdfunding,crowdfunding,Crowdfunding ,"Finanzing of projects, idees and initiatives, little by little. Most of the time solidarity and support comes from a lot of people: the crowd. ","Auch: Schwarmfinanzierung. Finanzierung für Projekte, Ideen und Initiativen nach dem Motto: ""Kleinvieh macht auch Mist."", denn meist unterstützen viele Menschen die im World Wide Web auf spezifischen Crowd-funding-Plattformen um Solidarität gebeten werden. Crowdfunding macht unabhängiger.",,,
,,production_input:money:gift   ,yes/no/only ,http://overpass-turbo.eu/?template=key&key=production_input:money:gift,gift ,geschenkt ,"A present, donation, gift. Every human knows what that is. There is no need for any service in return","Ein Geschenk. Eine Spende. Eine Gabe. Jeder Mensch weiss, was das ist. Es bedarf keiner Gegenleistung!",,,
,,production_input:money:others   ,free text,http://overpass-turbo.eu/?template=key&key=production_input:money:others,others ,andere ,Please specify! ,Bitte kurz erläutern. ,,,
,,,Standards on work ,,Arbeitsbedingungen ,,Arbeitsbedingungen ,work standards ,,,
,,production_input:work:ilo_standards   ,yes/no ,http://overpass-turbo.eu/?template=key&key=production_input:work:ilo_standards,ILO standards,ILO Standards ,Monitoring of ILO Standards by independent organisations. ,Die Einhaltung der internationalen ILO-Standards http://ilo.org/global/standards/introduction-to-international-labour-standards/lang--en/index.htm wird durch unabhängige Organisationen überprüft.,,,
,,production_input:work:further_training   ,yes/no ,http://overpass-turbo.eu/?template=key&key=production_input:work:further_training,further training,Fortbildung ,Collaborators have the opportunity/ are invited to further training/ training on the job. ,Mitarbeitende haben die Möglichkeit/ werden eingeladen sich fortzubilden. ,,,
,,production_input:work:payment  ,equal/good/undisclosed,http://overpass-turbo.eu/?template=key&key=production_input:work:payment,payment,Bezahlung ,gleich/gut/nicht transparent ,,,,
,,production_input:work:equalpay   ,yes/no ,http://overpass-turbo.eu/?template=key&key=production_input:work:equalpay,Alle Mitarbeitenden sind am Betrieb/ Projekt und damit an Gehalts-Entscheidungen beteiligt. Transparanz bzgl. der Gehälterhöhen. Männer und Frauen werden gleich gut bezahlt. Gehaltsspreizungen betragen im Höchstfall 1:3. ,equalpay ,"problematic - cause employer sais yes / employe no --> usually we talk about projects/ initiatives etc here, not the classical employer - employé structure ",All employees are involved in the company/project and therefore part of the decision-making on earnings. Remuneration structure is transparent. Men and women are payed equally. ,,,
,,production_input:work:goodpay,yes/no ,http://overpass-turbo.eu/?template=key&key=production_input:work:goodpay,Mitarbeiter*innen erhalten Tariflöhne bzw. Gehälter oberhalb von Mindestlöhnen. Männer und Frauen werden gleich gut bezahlt. Gehaltsspreizungen betragen im Höchstfall 1:10. ,good pay ,"problematic - cause employer sais yes / employe no --> usually we talk about projects/ initiatives etc here, not the classical employer - employé structure ",Emplyes receive standard wages respectivly more than standard wage. Discrepancy between highest and lowest wage is less than 1:10,,,
,,,,,,,,,,,
,TransforTax - Primary Key,OSM-Key,OSM-Value,Overpass-Link,label:en ,label:de ,description:en ,description:de ,OSM: default on objects,,
Group,,mode_of_organization,,http://overpass-turbo.eu/s/4P6,Mode of Organization,,"The way a project, initiative or enterprise is organized tells a lot about its purpose and character. Here you find answers to questions like: Who owns? Who benefits from? Who takes the decisions? What about democratic standards within the project? And so on. ",,,,
Items,,,,,,,,,,,
,,mode_of_organization:ownership_structure,free text ,http://overpass-turbo.eu/?template=key&key=mode_of_organization:ownership_structure,ownership ,Eigentümer ,"How is ownership organized? Is it a Cooperative, Free Association, P2P Network, community, self-organized group or something else? All of them can be drivers of an alternative economy.","Wie sind die Eigentumsverhältnisse? Genossenschaft, Verein, P2P Netzwerk, Gemeinschaft, selbstorganisierte Gruppe oder eine anderer Akteur der Anderen Ökonomie? ",,,
,,mode_of_organization:purpose,non_profit/not_for_private_profit/for_members/for_the_commons ,http://overpass-turbo.eu/?template=key&key=mode_of_organization:purpose,for profit or for benefit,Gewinn oder Gemeinwohl ,"Please make transparent if your project, initiative or enterprise is completely non profite, not for private profit but for reinvestment in social purposes and the common good or if members only benefit from it. Provide a link or information for more information. ","Bitte transparent machen, ob das Projekt, die Initiative oder das Unternehmen frei von Gewinninteressen ist, frei von privaten Gewinninteressen ist und Gewinn in soziale Zwecke steckt, ob nur Mitglieder davon profitieren oder die Allgemeinheit. ",,,
,,mode_of_organization:self_managed,yes/no ,http://overpass-turbo.eu/?template=key&key=mode_of_organization:self_managed,self managed,selbstverwaltet ,"Is the production process independent from - whatever - external interests or authorities, is it based on a self-organized structure and process?",Ist der Produktionsprozess unabhängig von jedwedem externen Interesse? Gibt es Selbstorganisationsstrukturen und einen Selbstverwaltungsprozess? ,,,
,,mode_of_organization:decision_making,by_consensus/by_vote/... ,http://overpass-turbo.eu/?template=key&key=mode_of_organization:decision_making,"Werden Entscheidungen im Konsens getroffen oder wird abgestimmt? ""Im Konsens"" bedeutet, dass eine gemeinsame Entscheidung gefunden wird, der sich niemand entgegen stellt. Eine Abstimmung hingegen folgt dem Prinzip ""eine Person - eine Stimme"", wie hoch dabei der Stimmanteil ist, der zu einer Entscheidung führt ist oft unterschiedliche geregelt. ",decision making ,,Do you take your decisions by consensus or by vote? 'By consensus' means: users and/or participants find ways to come to an agreement nobody feels the need to resist; 'by vote' means: one person - one vote with different rules about how many votes are needed to come to an agreement. ,,,
,,mode_of_organization:members,users/producers/suppliers/affected/open/closed/others ,http://overpass-turbo.eu/?template=key&key=mode_of_organization:members,membership ,Mitgliedschaft ,Nutzer/Produzenten/Zulieferer/Betroffene/offen/geschlossen/andere ,,,,
,,mode_of_organization:hierarchy_chef,no/yes/elected/flat hierarchy/others ,http://overpass-turbo.eu/?template=key&key=mode_of_organization:hierarchy_chef,hierarchy ,Hierarchie ,nein/ja/gewählt/flache Hierarchy,,,,
,,mode_of_organization:scale_of_activity,local/regional/national/binational/multinational/global ,http://overpass-turbo.eu/?template=key&key=mode_of_organization:scale_of_activity,"Wird auf lokaler, regionaler, nationaler, binationaler, multinationaler oder globaler Ebene agiert? ",scale of activity ,,"Do you act at a local, regional, national, binational, multinational or global level? Combinations are possible. ",,,
,,mode_of_organization:transparency,free text ,http://overpass-turbo.eu/?template=key&key=mode_of_organization:transparency,,transparency ,If you think about transparency in_the mode_of_organization/the_decision_making process/ in thesupply_chain/ in financial issues/ in terms of the technology used and in terms of information_and_knowledge_management. How would you assess transparency? 100% fullfilled or partially:yes/no/a_bit/much ,"Wie ist die Transparenz des Projektes/ Unternehmens einzuschätzen, bitte viele Aspekte berücksichtigen. Organisationsstruktur, Mittelverwaltung, Entscheidungsfindung, Zulieferung, Technologienutzung oder Wissens- und Informationsmanagement. Jeweils zu 100% erfüllt oder teilweise: ja/nein/ein bisschen/viel ",,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,TransforTax - Primary Key,OSM-Key,OSM-Value,Overpass-Link,label:en ,label:de ,description:en ,description:de ,OSM: default on objects,,
Group,,occurence,,,occurence,,BESCHREIBUNG ,,,,
